Id,SalePrice
2,123245.74672502995
4,286954.9299571526
6,215626.9516779511
7,202405.77793382164
17,191871.05603488185
18,336811.6383799143
22,211094.024389459
27,144982.26718989923
31,123662.09559337833
36,171322.41663779138
39,389518.87295376
40,265268.4291826609
42,325534.499413091
46,246148.47735975755
53,191723.7434216565
58,208729.9905204784
61,332150.61855536175
72,270275.73421462806
79,132648.27961213043
80,239398.66534188561
82,207659.39518595088
83,95829.5875516752
85,153337.92147156445
88,138478.82495043962
92,272582.67069098697
93,261761.07915754966
95,185424.18316194418
102,221271.636559189
103,198128.93790746824
106,249358.41859144194
107,192017.45611101246
110,233309.6823975655
114,223605.6767186348
116,200345.99272733758
117,189252.89674262347
118,164748.2360245739
125,184298.15062735937
126,178652.80430697557
127,183661.72977468214
128,222694.83197311588
134,153998.70180043968
135,185447.32023006008
137,225169.70756489184
143,150909.71743169668
147,149903.51784124476
148,225824.05863470474
150,126206.62999663413
156,169829.144471034
157,165625.3476926805
159,124058.46853944316
161,274179.1059247905
167,176170.77471258678
170,168558.34076554514
171,94347.75355194457
175,149780.1327594868
179,132031.80221016885
181,124073.45024756844
186,199500.864991845
193,214873.43338423886
194,114216.55567587395
206,143879.65672142597
208,157040.70443946932
210,193118.40028261248
211,106662.46565835552
212,113418.72279591985
214,127039.87595242957
215,125123.05284951886
217,169747.14944512805
222,177328.18572258585
227,184290.88520394554
228,198055.62340864
233,214767.98852417932
235,165996.27238053633
238,145189.0706564496
241,187923.14757243986
252,198066.99168236397
253,203328.91580827846
256,166193.1656930737
257,167634.8259964776
258,213961.01897089265
259,207291.68203289877
261,156155.16929068044
263,154380.9065257259
266,250122.47177723635
267,244457.71920565408
270,151490.90043526943
271,247714.85529869457
276,130676.36466318465
285,155899.75278204697
288,70931.75306074785
289,189107.09682515415
290,162544.51578235265
291,145756.09649301105
292,154720.03535972923
293,220058.0619995402
294,241358.9291716781
295,233932.32220314245
304,156819.74361728108
322,363814.1572210133
326,207645.1507036738
327,122904.28496667868
328,177240.7963151376
331,100012.62777184916
332,115322.25088599647
333,120114.15849459665
335,153384.61170805062
337,222811.08680881438
342,133042.44782978614
343,189590.52649530454
347,195732.65645778415
350,302107.908223798
352,215455.49559798956
358,197347.49353174627
359,200523.570255085
360,177193.3867064174
368,320361.74239004834
369,268426.75968089903
373,205679.82013887522
377,254968.73023650644
383,227174.25777265313
386,228037.7825374888
387,243218.40484592048
390,183968.63073825062
391,190910.72416105974
395,166366.75866313215
397,151686.3050247123
398,147604.02281784994
401,145104.38908266055
404,128864.61652085609
408,147311.48434702645
409,134355.2778471138
410,170081.12212602975
418,122460.0618975387
422,417803.243864371
427,362807.8451855357
431,375696.962695457
433,428551.7392034387
437,384899.2143574143
438,293142.98469900806
442,356857.58786010335
447,251994.24224646325
459,342259.69120659423
460,295258.2381793463
464,217984.29843975895
465,193800.52040497062
467,198032.8162393317
468,208169.06419933296
474,191080.29428400053
480,218955.41749959099
481,213049.8883796869
483,229076.28347781638
488,197284.28536459984
492,193809.51791409214
494,199022.12571230542
499,320828.64456042723
500,285549.0838109274
501,311411.03154445195
503,261133.5016297074
506,229927.58699620102
508,239750.6760768653
511,266535.54205490404
515,256836.6821724952
519,232072.89526019423
521,251163.26386221172
530,252616.50229676723
532,234382.82708162582
534,190358.4170214772
540,189209.4284420596
541,166579.1722452724
551,184041.81695330588
552,175945.59962830448
554,91306.57985017599
555,151616.0044527474
556,143885.39870669728
557,144689.61242465305
565,243845.41360496462
566,269312.8577121608
567,185012.09526979824
569,239148.1714672491
570,204124.5993202662
574,220514.51555960655
575,320687.88543426665
576,204251.70453567116
577,212476.55876510782
578,226413.39103375515
583,233064.64498384425
584,237396.78992335638
585,180137.58152394264
587,211236.10184062153
593,223027.06881466525
597,238823.27953007037
598,194387.44707026618
599,214127.20568630673
600,176444.7133692121
605,181053.23711946877
607,209747.22728848938
608,177235.6016782708
611,200346.76629932158
